Unnamed: 0;ancienne_classe_risque;classe_risque_actuelle;anciennete;sexe_rec;situation_contractuelle;convention;employeur_client;rupture_revenu;duree_sommeil;max_credit;min_debit;nbr_mvt_credit;nbr_mvt_debit;nbr_open_comptes;nbr_closed_comptes;nbr_abonnements;nbr_placements_actifs;nbr_placements_echus;nbr_open_engagements;solde_moyen_mensuel;Engagement_Secteur;anciennete_dern_eng_anticip;sortie_risque;revenu_mensuel_y
0;4;1;19;1;5;0;0;0;85;0;-200;0;6;1;0;0;0;0;0;40.883;0;0;1;450
9;4;1;27;1;5;0;0;0;85;81.18;-37.586;1;9;1;0;0;0;0;0;-66.485;0;0;1;6.765
14;2;2;35;1;1;0;0;0;29;2289.418;-2000;3;79;1;0;2;0;0;1;-3193.225;0;0;0;424.182
17;4;1;35;1;5;0;0;0;85;0;-17.85;0;4;1;0;0;0;0;0;31.4;0;0;1;450
18;2;0;32;1;5;0;0;0;85;577.6;-1060;5;16;1;0;0;0;0;0;-9.465;0;0;1;186.208333
20;3;5;27;1;1;0;0;0;5;2233.648;-2050;17;166;1;0;1;0;0;2;-223.847;0;22;0;1706.0295
21;4;1;24;0;5;0;0;0;85;0;-20;0;5;1;0;1;0;0;0;26.213;0;0;1;450
22;2;1;28;1;2;0;0;0;56;420;-100.016;5;60;1;0;0;0;0;0;-696.069;0;0;1;89.166666
23;3;1;25;0;5;0;0;0;85;600;-600;2;11;1;0;0;0;0;0;-290.336;0;0;1;83.333333
24;4;1;25;0;5;0;0;0;85;600;-600;2;11;1;0;0;0;0;0;-290.336;0;0;1;83.333333
26;2;1;30;1;5;0;0;0;85;1008.971;-1190;10;27;1;0;0;0;0;0;135.486;0;0;1;677.807083
27;3;1;29;1;5;0;0;0;85;400;-156.8;1;11;1;0;0;0;0;0;-404.223;0;0;1;33.333333
28;4;1;29;1;5;0;0;0;85;400;-156.8;1;11;1;0;0;0;0;0;-404.223;0;0;1;33.333333
29;2;5;29;1;4;0;0;0;4;2924.094;-1000;24;193;2;0;0;0;0;4;-2530.258;0;20;0;2802.54925
30;3;5;29;1;4;0;0;0;4;2924.094;-1000;24;193;2;0;0;0;0;4;-2530.258;0;20;0;2802.54925
41;3;1;24;1;5;0;0;0;85;0;-34.203;0;8;1;0;0;0;0;0;-356.18;0;0;1;450
44;2;1;19;1;5;0;0;0;85;435;-350;1;17;1;0;1;0;0;0;-19.856;0;0;1;36.25
52;4;1;22;1;5;0;0;0;85;0;-24.071;0;8;2;0;0;0;0;0;-130.638;0;0;1;450
53;2;1;9;1;5;0;0;0;85;0;-20.887;0;9;1;0;1;0;0;0;-67.608;0;0;1;450
54;4;1;8;1;5;0;0;0;85;0;-41.227;0;8;1;0;0;0;0;0;-639.286;0;0;1;450
56;4;1;8;1;5;0;0;0;85;0;-19.56;0;7;1;0;0;0;0;0;-40.658;0;0;1;450
59;4;1;9;1;5;0;0;0;85;0;-240;0;7;1;0;0;0;0;0;43.885;0;0;1;450
60;4;1;7;0;5;0;0;0;85;0;-37.066;0;9;1;0;1;0;0;0;-524.323;0;0;1;450
61;2;1;7;0;5;0;0;0;85;0;-37.066;0;9;1;0;1;0;0;0;-524.323;0;0;1;450
62;3;1;9;1;5;0;0;0;85;276;-23.28;1;8;1;0;0;0;0;0;-79.242;0;0;1;23
63;3;1;30;1;5;0;0;0;85;0;-65.073;0;8;1;0;0;0;0;0;-1038.484;0;0;1;450
64;3;1;10;1;5;0;0;0;85;0;-29.75;0;10;1;0;1;0;0;0;-144.693;0;0;1;450
65;2;1;7;1;1;0;0;0;13;32800;-15500;21;98;1;0;1;0;0;2;-641.03;0;1;1;1282.400833
67;4;1;7;1;5;0;0;0;85;1000;-74.429;1;16;1;0;1;0;0;0;-1169.435;0;0;1;83.333333
68;3;1;7;0;5;0;0;0;85;7455.25;-3390;1;13;1;0;0;0;0;0;584.126;0;0;1;621.270833
